epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.97484,1.50664,4.00042,1.0715,0.00383,0.93893,0.00699,0.00351,1.19438,3.94725,0.91229,0.00052,0.00052,0.00052
2,11.699,1.28469,2.08968,0.98309,0.00377,0.92366,0.00565,0.00371,1.13598,3.66934,1.02426,0.00103901,0.00103901,0.00103901
3,16.1415,1.1592,1.84609,0.95452,0.08834,0.44275,0.06807,0.04269,1.22161,2.96528,1.11191,0.00153664,0.00153664,0.00153664
4,20.803,1.22868,1.62942,1.00135,0.04546,0.87786,0.04541,0.03025,1.09561,13.888,1.07014,0.0018812,0.0018812,0.0018812
5,25.2729,1.23656,1.40834,0.99729,0.95475,0.80541,0.93823,0.59611,1.13471,1.20461,1.07251,0.0018416,0.0018416,0.0018416
6,29.9067,1.12168,1.23786,0.97069,0.96889,0.91603,0.98772,0.70091,1.04952,0.86773,1.05989,0.001802,0.001802,0.001802
7,34.4626,1.12656,1.11994,0.96779,0.90522,0.94781,0.97523,0.67771,1.03295,0.87846,1.01059,0.0017624,0.0017624,0.0017624
8,39.0117,1.15986,1.07952,0.97271,0.9376,0.91757,0.98181,0.69463,0.93946,0.81699,0.93856,0.0017228,0.0017228,0.0017228
9,43.4325,1.05312,0.97034,0.94654,0.93847,0.96947,0.98681,0.73264,0.91947,0.636,0.93436,0.0016832,0.0016832,0.0016832
10,48.0848,1.01353,0.88837,0.91955,0.96863,0.94298,0.98931,0.72756,0.87837,1.02665,0.91336,0.0016436,0.0016436,0.0016436
11,52.6355,1.03475,0.82677,0.92316,0.91932,0.95688,0.98721,0.71085,0.93247,0.60595,0.92449,0.001604,0.001604,0.001604
12,57.1227,0.93269,0.75943,0.9117,0.94482,0.9771,0.98988,0.76323,0.83993,0.55154,0.89577,0.0015644,0.0015644,0.0015644
13,61.5463,0.93773,0.74949,0.9109,0.96162,0.96947,0.99069,0.75724,0.85303,0.57863,0.91058,0.0015248,0.0015248,0.0015248
14,66.094,0.96075,0.75601,0.91428,0.94577,0.96947,0.98082,0.73146,0.85766,0.60147,0.90503,0.0014852,0.0014852,0.0014852
15,70.557,0.94183,0.72588,0.91262,0.94761,0.96645,0.99113,0.75787,0.87435,0.54074,0.91014,0.0014456,0.0014456,0.0014456
16,74.9567,0.9487,0.70776,0.88517,0.94304,0.9771,0.99167,0.71601,1.02729,0.56488,0.93766,0.001406,0.001406,0.001406
17,79.3403,0.96277,0.69783,0.90539,0.96919,0.96048,0.98808,0.73643,0.91591,0.54649,0.89945,0.0013664,0.0013664,0.0013664
