epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.605,1.38231,2.85235,1.03813,0.97166,0.61507,0.81489,0.55522,1.11097,2.14611,0.95335,0.000659933,0.000659933,0.000659933
2,45.1494,1.1731,1.40582,0.96375,0.93853,0.87062,0.92955,0.6189,1.11186,1.03992,0.98006,0.00130033,0.00130033,0.00130033
3,62.3901,1.20539,1.11039,0.96839,0.93847,0.83873,0.93046,0.65908,1.04894,0.85368,0.96114,0.00191433,0.00191433,0.00191433
4,78.4429,1.11989,0.92452,0.96127,0.93205,0.86762,0.93994,0.64488,1.0478,0.74992,0.94648,0.0018812,0.0018812,0.0018812
5,94.122,1.09505,0.79203,0.94905,0.96391,0.86558,0.94247,0.68496,0.94276,0.69757,0.93983,0.0018416,0.0018416,0.0018416
6,111.624,1.06923,0.74719,0.94517,0.96177,0.87102,0.94653,0.69205,0.96234,0.70049,0.93807,0.001802,0.001802,0.001802
7,128.639,1.03756,0.69458,0.93488,0.94082,0.93279,0.97204,0.69687,0.91997,0.59808,0.92414,0.0017624,0.0017624,0.0017624
8,145.391,1.00377,0.66811,0.92665,0.92275,0.8778,0.94738,0.69407,0.91091,0.7798,0.91613,0.0017228,0.0017228,0.0017228
9,162.389,0.95365,0.62573,0.91028,0.94214,0.95112,0.98096,0.75312,0.81347,0.52939,0.88856,0.0016832,0.0016832,0.0016832
10,178.134,0.95976,0.61925,0.91099,0.96628,0.95112,0.98184,0.73222,0.85559,0.54023,0.89308,0.0016436,0.0016436,0.0016436
11,193.676,0.93397,0.60463,0.89819,0.95664,0.94368,0.97625,0.73742,0.86756,0.55702,0.89149,0.001604,0.001604,0.001604
12,209.321,0.90927,0.58356,0.90167,0.96322,0.93279,0.97951,0.75415,0.81352,0.5224,0.89128,0.0015644,0.0015644,0.0015644
