epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8359,1.25962,0.6817,0.97344,0.94581,0.93268,0.98705,0.78681,0.7605,0.44552,0.86452,0.000660436,0.000660436,0.000660436
2,24.2288,0.9924,0.6219,0.89407,0.88352,0.92366,0.95753,0.74141,0.81183,0.64286,0.871,0.00128331,0.00128331,0.00128331
3,35.482,0.9793,0.64378,0.90402,0.93422,0.98473,0.98677,0.79266,0.78847,0.45323,0.88188,0.00186218,0.00186218,0.00186218
4,46.6799,0.93957,0.63259,0.9002,0.92766,0.96947,0.98258,0.77972,0.8117,0.47336,0.87075,0.001802,0.001802,0.001802
5,58.0429,0.88865,0.59545,0.8596,0.94043,0.9771,0.98603,0.78111,0.77959,0.48834,0.87276,0.001736,0.001736,0.001736
6,69.3066,0.91007,0.62073,0.88101,0.92845,0.96183,0.98737,0.74991,0.85825,0.49363,0.87212,0.00167,0.00167,0.00167
7,80.5648,0.90519,0.58779,0.87877,0.95329,0.96947,0.98994,0.77979,0.81576,0.47542,0.8663,0.001604,0.001604,0.001604
8,91.7514,0.88626,0.59416,0.8976,0.95463,0.96368,0.98796,0.78558,0.78385,0.45082,0.85678,0.001538,0.001538,0.001538
9,102.964,0.92047,0.56448,0.8947,0.95588,0.99222,0.98725,0.76128,0.82774,0.45073,0.86723,0.001472,0.001472,0.001472
10,114.14,0.89071,0.54863,0.87227,0.91582,0.99662,0.98608,0.78778,0.75499,0.45287,0.8482,0.001406,0.001406,0.001406
11,125.306,0.84339,0.54705,0.85468,0.95338,0.93675,0.98313,0.79557,0.74514,0.45898,0.85138,0.00134,0.00134,0.00134
12,136.53,0.84013,0.61662,0.85933,0.94404,0.98473,0.9912,0.81457,0.71644,0.43052,0.84112,0.001274,0.001274,0.001274
13,147.86,0.81551,0.53424,0.84966,0.94238,0.99885,0.99137,0.79327,0.748,0.43673,0.84533,0.001208,0.001208,0.001208
14,159.096,0.79994,0.51153,0.85332,0.96597,0.9771,0.99161,0.83047,0.68963,0.4082,0.83756,0.001142,0.001142,0.001142
15,170.471,0.79696,0.50923,0.85494,0.95622,0.9771,0.99128,0.81504,0.7033,0.40089,0.83466,0.001076,0.001076,0.001076
16,181.825,0.8043,0.50096,0.86965,0.97993,0.9771,0.99329,0.80321,0.76036,0.41063,0.84726,0.00101,0.00101,0.00101
17,193.211,0.76501,0.46555,0.85591,0.97703,0.97408,0.99268,0.83027,0.66489,0.39143,0.83303,0.000944,0.000944,0.000944
18,204.576,0.75543,0.50197,0.85056,0.97724,0.98316,0.99355,0.84138,0.6635,0.37434,0.8279,0.000878,0.000878,0.000878
19,215.88,0.74897,0.45449,0.84036,0.96845,0.99237,0.99401,0.81416,0.70223,0.38821,0.83206,0.000812,0.000812,0.000812
20,227.251,0.73434,0.46426,0.84215,0.97025,0.99237,0.99369,0.82401,0.69104,0.37879,0.82781,0.000746,0.000746,0.000746
21,258.862,0.70531,0.42898,0.85358,0.94215,1,0.99225,0.81613,0.66865,0.39275,0.82742,0.00068,0.00068,0.00068
22,270.366,0.70477,0.44587,0.83845,0.98448,0.96859,0.99311,0.84203,0.63436,0.37874,0.82019,0.000614,0.000614,0.000614
23,281.441,0.67271,0.40748,0.84819,0.96985,1,0.99363,0.84355,0.62931,0.3449,0.82138,0.000548,0.000548,0.000548
24,292.788,0.68733,0.41319,0.83491,0.991,0.96947,0.99304,0.84892,0.62793,0.35323,0.82388,0.000482,0.000482,0.000482
25,303.846,0.67703,0.40649,0.84617,0.9754,0.99237,0.99408,0.84798,0.64335,0.35043,0.82491,0.000416,0.000416,0.000416
26,314.91,0.64732,0.39659,0.82795,0.98455,0.99237,0.99447,0.85,0.59748,0.3379,0.81528,0.00035,0.00035,0.00035
27,326.097,0.65251,0.39133,0.82474,0.96895,1,0.9944,0.84511,0.62253,0.34559,0.81771,0.000284,0.000284,0.000284
28,337.928,0.64165,0.38807,0.82279,0.97999,0.99237,0.99446,0.84863,0.5996,0.33175,0.8136,0.000218,0.000218,0.000218
29,349.154,0.63077,0.38135,0.83175,0.97428,0.99237,0.99415,0.84693,0.6053,0.33584,0.81393,0.000152,0.000152,0.000152
30,360.38,0.63378,0.38122,0.83117,0.9711,0.99237,0.99407,0.85296,0.60122,0.32389,0.81315,8.6e-05,8.6e-05,8.6e-05
