epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.80381,5.37036,22.2446,4.05197,0,0,0,0,6.13658,12.8167,4.27691,0.000654321,0.000654321,0.000654321
2,14.2097,4.22174,8.70585,3.01285,0,0,0,0,6.12644,7.96368,4.32626,0.00129483,0.00129483,0.00129483
3,20.4848,3.75546,6.0895,2.5126,0.33297,0.09924,0.09023,0.03071,3.65709,4.00656,2.69261,0.00190894,0.00190894,0.00190894
4,26.8847,3.40443,4.86099,2.18646,0.38304,0.22137,0.19311,0.04948,3.43154,3.41404,2.47629,0.0018812,0.0018812,0.0018812
5,33.3041,3.24222,4.09025,2.1455,0.29234,0.27436,0.21442,0.08677,2.58931,2.78275,2.17792,0.0018416,0.0018416,0.0018416
6,39.6422,2.72072,3.48727,1.90969,0.30796,0.31298,0.25599,0.10239,2.46116,2.77256,1.99058,0.001802,0.001802,0.001802
7,46.0463,2.63484,3.07974,1.87308,0.42983,0.34351,0.29657,0.10689,2.40319,2.56125,1.93753,0.0017624,0.0017624,0.0017624
8,58.5014,2.4602,2.77078,1.78384,0.51496,0.43511,0.43225,0.18791,2.10461,2.20997,1.75741,0.0017228,0.0017228,0.0017228
9,67.0944,2.28992,2.45941,1.65487,0.40534,0.29771,0.31613,0.1435,2.09793,2.19976,1.71125,0.0016832,0.0016832,0.0016832
10,73.9851,2.24627,2.26594,1.59685,0.41072,0.46565,0.42134,0.19406,2.07327,1.8513,1.68298,0.0016436,0.0016436,0.0016436
11,81.3622,2.11427,1.96628,1.5253,0.5879,0.6643,0.64465,0.3562,1.682,1.3974,1.54857,0.001604,0.001604,0.001604
12,88.8342,1.99801,1.81966,1.52472,0.64515,0.64885,0.69504,0.37188,1.73166,1.36447,1.52048,0.0015644,0.0015644,0.0015644
13,95.6772,1.91457,1.68361,1.47583,0.68331,0.70229,0.73199,0.36106,1.71104,1.32423,1.50151,0.0015248,0.0015248,0.0015248
14,102.805,1.84037,1.59603,1.38018,0.70043,0.80916,0.83552,0.4913,1.48348,1.19031,1.38277,0.0014852,0.0014852,0.0014852
15,110.638,1.77239,1.53562,1.37564,0.78161,0.74809,0.81407,0.43928,1.59245,1.29672,1.4246,0.0014456,0.0014456,0.0014456
16,118.908,1.83073,1.51812,1.38722,0.72408,0.75573,0.81546,0.47477,1.53926,1.22284,1.39472,0.001406,0.001406,0.001406
17,126.278,1.69974,1.40742,1.36019,0.80497,0.82443,0.87203,0.49988,1.5169,1.15529,1.38654,0.0013664,0.0013664,0.0013664
18,133.064,1.72541,1.34922,1.3293,0.83157,0.80153,0.89673,0.54597,1.42638,1.02212,1.31544,0.0013268,0.0013268,0.0013268
19,141.029,1.58911,1.19377,1.28297,0.88048,0.84733,0.92764,0.56552,1.3707,0.99409,1.28009,0.0012872,0.0012872,0.0012872
20,149.297,1.54178,1.16712,1.21243,0.76487,0.87786,0.89579,0.55618,1.29836,0.91943,1.27342,0.0012476,0.0012476,0.0012476
21,157.3,1.5963,1.19505,1.3033,0.87379,0.85496,0.94602,0.64936,1.23503,0.87308,1.23582,0.001208,0.001208,0.001208
22,164.589,1.54853,1.12814,1.23967,0.91841,0.85924,0.94579,0.55623,1.41514,1.0259,1.26349,0.0011684,0.0011684,0.0011684
23,172.247,1.54626,1.11131,1.23214,0.8482,0.8855,0.94867,0.61731,1.21084,0.8336,1.19525,0.0011288,0.0011288,0.0011288
24,179.724,1.48845,1.08527,1.21976,0.86519,0.88189,0.94835,0.64561,1.21826,0.83913,1.21024,0.0010892,0.0010892,0.0010892
25,186.816,1.46903,1.05397,1.16165,0.92157,0.89701,0.96334,0.5952,1.26822,0.9114,1.19118,0.0010496,0.0010496,0.0010496
26,194.135,1.46315,1.08555,1.16922,0.8302,0.9084,0.92797,0.63276,1.17568,0.80091,1.16288,0.00101,0.00101,0.00101
27,201.68,1.36717,1.02173,1.16757,0.90709,0.9313,0.96637,0.63945,1.1735,0.77853,1.18353,0.0009704,0.0009704,0.0009704
28,211.151,1.44935,1.04039,1.17478,0.92126,0.92366,0.95997,0.59874,1.26497,0.85553,1.16631,0.0009308,0.0009308,0.0009308
29,218.926,1.41416,0.99532,1.16709,0.87701,0.94656,0.97131,0.65348,1.14832,0.74437,1.13006,0.0008912,0.0008912,0.0008912
30,226.921,1.40128,0.9764,1.17818,0.89,0.9084,0.96334,0.64527,1.19311,0.80698,1.15267,0.0008516,0.0008516,0.0008516
31,236.063,1.35619,0.98449,1.15537,0.94623,0.92366,0.98073,0.68141,1.1188,0.68403,1.13345,0.000812,0.000812,0.000812
