epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.605,1.38231,2.85235,1.03813,0.97166,0.61507,0.81489,0.55522,1.11097,2.14611,0.95335,0.000659933,0.000659933,0.000659933
2,45.1494,1.1731,1.40582,0.96375,0.93853,0.87062,0.92955,0.6189,1.11186,1.03992,0.98006,0.00130033,0.00130033,0.00130033
3,62.3901,1.20539,1.11039,0.96839,0.93847,0.83873,0.93046,0.65908,1.04894,0.85368,0.96114,0.00191433,0.00191433,0.00191433
4,78.4429,1.11989,0.92452,0.96127,0.93205,0.86762,0.93994,0.64488,1.0478,0.74992,0.94648,0.0018812,0.0018812,0.0018812
5,94.122,1.09505,0.79203,0.94905,0.96391,0.86558,0.94247,0.68496,0.94276,0.69757,0.93983,0.0018416,0.0018416,0.0018416
6,111.624,1.06923,0.74719,0.94517,0.96177,0.87102,0.94653,0.69205,0.96234,0.70049,0.93807,0.001802,0.001802,0.001802
7,128.639,1.03756,0.69458,0.93488,0.94082,0.93279,0.97204,0.69687,0.91997,0.59808,0.92414,0.0017624,0.0017624,0.0017624
8,145.391,1.00377,0.66811,0.92665,0.92275,0.8778,0.94738,0.69407,0.91091,0.7798,0.91613,0.0017228,0.0017228,0.0017228
9,162.389,0.95365,0.62573,0.91028,0.94214,0.95112,0.98096,0.75312,0.81347,0.52939,0.88856,0.0016832,0.0016832,0.0016832
10,178.134,0.95976,0.61925,0.91099,0.96628,0.95112,0.98184,0.73222,0.85559,0.54023,0.89308,0.0016436,0.0016436,0.0016436
11,193.676,0.93397,0.60463,0.89819,0.95664,0.94368,0.97625,0.73742,0.86756,0.55702,0.89149,0.001604,0.001604,0.001604
12,209.321,0.90927,0.58356,0.90167,0.96322,0.93279,0.97951,0.75415,0.81352,0.5224,0.89128,0.0015644,0.0015644,0.0015644
13,225.576,0.8891,0.57464,0.88978,0.94392,0.9613,0.98438,0.77653,0.78311,0.49342,0.88108,0.0015248,0.0015248,0.0015248
14,242.467,0.86006,0.54421,0.88497,0.9681,0.92707,0.97533,0.77244,0.75697,0.49465,0.87511,0.0014852,0.0014852,0.0014852
15,259.152,0.87969,0.56252,0.89567,0.95866,0.95519,0.98626,0.77173,0.77446,0.49814,0.87158,0.0014456,0.0014456,0.0014456
16,275.016,0.86809,0.56921,0.88387,0.97915,0.93279,0.98345,0.79595,0.75099,0.4691,0.87617,0.001406,0.001406,0.001406
17,290.83,0.87808,0.55688,0.88992,0.97029,0.90428,0.97541,0.77236,0.76046,0.48396,0.8647,0.0013664,0.0013664,0.0013664
18,307.292,0.83364,0.52769,0.8738,0.9536,0.9389,0.97744,0.78822,0.7208,0.4709,0.86982,0.0013268,0.0013268,0.0013268
19,325.693,0.82932,0.51732,0.87765,0.97305,0.95603,0.9898,0.78793,0.75752,0.45827,0.87175,0.0012872,0.0012872,0.0012872
20,345.148,0.80855,0.5071,0.88006,0.96522,0.96076,0.9893,0.79832,0.73823,0.44229,0.87295,0.0012476,0.0012476,0.0012476
21,365.4,0.82166,0.49512,0.87513,0.95531,0.95723,0.98984,0.80615,0.7286,0.45179,0.86481,0.001208,0.001208,0.001208
22,385.063,0.78089,0.49442,0.86646,0.94397,0.9608,0.987,0.80114,0.6935,0.43957,0.85315,0.0011684,0.0011684,0.0011684
23,403.694,0.77662,0.48155,0.86412,0.95907,0.95455,0.98547,0.80423,0.70832,0.41881,0.85866,0.0011288,0.0011288,0.0011288
24,421.306,0.77742,0.47191,0.86355,0.95814,0.94908,0.98418,0.80683,0.68497,0.42359,0.85102,0.0010892,0.0010892,0.0010892
25,439.048,0.75322,0.46535,0.85835,0.95694,0.97149,0.98881,0.80413,0.69025,0.41565,0.85224,0.0010496,0.0010496,0.0010496
26,456.944,0.75683,0.47101,0.86097,0.96699,0.9613,0.98878,0.82446,0.65068,0.39687,0.84239,0.00101,0.00101,0.00101
27,476.124,0.74861,0.46543,0.85616,0.96922,0.96206,0.98899,0.83256,0.64882,0.40076,0.84411,0.0009704,0.0009704,0.0009704
28,493.933,0.7371,0.45197,0.8582,0.96701,0.96741,0.98968,0.81495,0.65812,0.40561,0.84776,0.0009308,0.0009308,0.0009308
29,511.118,0.71107,0.44367,0.85009,0.9781,0.96334,0.98807,0.82736,0.64706,0.38231,0.84425,0.0008912,0.0008912,0.0008912
30,527.184,0.72324,0.44529,0.85199,0.96146,0.98982,0.99193,0.81737,0.66645,0.39155,0.84583,0.0008516,0.0008516,0.0008516
31,542.849,0.72668,0.43736,0.84396,0.95105,0.98922,0.99075,0.8309,0.62293,0.39332,0.83865,0.000812,0.000812,0.000812
32,558.495,0.70356,0.43353,0.8513,0.95435,0.97941,0.98821,0.8269,0.61959,0.36947,0.83836,0.0007724,0.0007724,0.0007724
33,574.005,0.73464,0.44016,0.8499,0.97672,0.96741,0.98831,0.82603,0.64044,0.39581,0.8464,0.0007328,0.0007328,0.0007328
34,589.478,0.70692,0.43171,0.84813,0.97442,0.97149,0.99202,0.83723,0.62708,0.37238,0.83248,0.0006932,0.0006932,0.0006932
35,605.149,0.67917,0.41379,0.83971,0.97636,0.97149,0.9911,0.84066,0.59239,0.36263,0.83175,0.0006536,0.0006536,0.0006536
36,621.298,0.67104,0.41479,0.84021,0.98174,0.96334,0.99171,0.84201,0.58159,0.36614,0.82722,0.000614,0.000614,0.000614
37,637.933,0.668,0.41031,0.84178,0.97317,0.97963,0.99141,0.84613,0.57756,0.35097,0.82925,0.0005744,0.0005744,0.0005744
38,653.649,0.66026,0.39914,0.83311,0.97769,0.97149,0.99164,0.84805,0.58697,0.35426,0.82717,0.0005348,0.0005348,0.0005348
39,669.351,0.67052,0.4035,0.84422,0.96625,0.98371,0.99092,0.84554,0.5786,0.3517,0.82513,0.0004952,0.0004952,0.0004952
40,684.77,0.64931,0.39456,0.83619,0.98117,0.96538,0.99136,0.84788,0.58416,0.34396,0.82698,0.0004556,0.0004556,0.0004556
41,725.926,0.59263,0.35572,0.82703,0.96498,0.98167,0.99211,0.84475,0.57992,0.35423,0.82376,0.000416,0.000416,0.000416
42,741.235,0.59372,0.35883,0.82223,0.96212,0.98284,0.98995,0.84665,0.57248,0.34586,0.82249,0.0003764,0.0003764,0.0003764
43,756.653,0.57205,0.34264,0.82305,0.97733,0.96579,0.99077,0.86065,0.56059,0.33792,0.82241,0.0003368,0.0003368,0.0003368
44,771.948,0.58045,0.34538,0.82285,0.96887,0.98167,0.99152,0.85168,0.55778,0.33577,0.82261,0.0002972,0.0002972,0.0002972
45,787.212,0.56627,0.33826,0.8197,0.9718,0.98276,0.99206,0.85786,0.55455,0.32615,0.82338,0.0002576,0.0002576,0.0002576
46,802.388,0.55713,0.33643,0.81576,0.97695,0.98167,0.991,0.86105,0.5448,0.3247,0.82035,0.000218,0.000218,0.000218
47,817.634,0.53906,0.32629,0.81141,0.97564,0.97891,0.99263,0.86797,0.53297,0.31344,0.81784,0.0001784,0.0001784,0.0001784
48,832.894,0.52952,0.31974,0.81604,0.97191,0.98574,0.99262,0.8695,0.52511,0.31181,0.8179,0.0001388,0.0001388,0.0001388
49,848.09,0.52554,0.31277,0.81248,0.98363,0.97887,0.99279,0.87195,0.51884,0.30698,0.81533,9.92e-05,9.92e-05,9.92e-05
50,863.336,0.52086,0.31064,0.81421,0.97384,0.98554,0.99221,0.86695,0.52203,0.30739,0.81579,5.96e-05,5.96e-05,5.96e-05
