epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2446,4.78265,11.8173,3.48485,0.01262,0.05092,0.00419,0.00102,3.85919,5.50164,3.11645,0.0006633,0.0006633,0.0006633
2,48.8076,3.19504,4.07257,2.26707,0.32851,0.25866,0.21175,0.07084,2.76151,2.66144,2.14814,0.00130363,0.00130363,0.00130363
3,70.9616,2.57654,2.57656,1.86498,0.50096,0.42974,0.43904,0.18599,2.21777,1.80264,1.81847,0.00191757,0.00191757,0.00191757
4,92.5794,2.31474,2.02063,1.69885,0.52519,0.46436,0.47241,0.19579,2.13522,1.85623,1.77287,0.0018812,0.0018812,0.0018812
5,114.65,2.03163,1.61975,1.51923,0.77882,0.62322,0.70486,0.34817,1.81428,1.34838,1.52153,0.0018416,0.0018416,0.0018416
6,136.583,1.84466,1.39731,1.42177,0.82464,0.70875,0.78768,0.43983,1.50825,1.17328,1.37406,0.001802,0.001802,0.001802
7,158.775,1.69141,1.25508,1.36019,0.8839,0.74429,0.83454,0.44579,1.54381,1.10369,1.33065,0.0017624,0.0017624,0.0017624
8,180.411,1.6205,1.12692,1.3008,0.90534,0.78411,0.87826,0.53182,1.3839,0.91083,1.2888,0.0017228,0.0017228,0.0017228
9,202.269,1.51135,1.05638,1.23274,0.88376,0.80523,0.88138,0.53503,1.41421,0.96741,1.26364,0.0016832,0.0016832,0.0016832
10,224.023,1.4888,1.00057,1.22001,0.92118,0.8093,0.88354,0.53103,1.40876,0.90995,1.26714,0.0016436,0.0016436,0.0016436
11,245.831,1.40939,0.93967,1.18654,0.91776,0.80448,0.87834,0.53761,1.27558,0.86996,1.19293,0.001604,0.001604,0.001604
12,267.534,1.39308,0.91761,1.18385,0.91853,0.80364,0.89073,0.56863,1.28905,0.8296,1.22848,0.0015644,0.0015644,0.0015644
13,289.455,1.41064,0.92363,1.17383,0.95541,0.83299,0.9143,0.58498,1.28792,0.81714,1.19142,0.0015248,0.0015248,0.0015248
14,311.269,1.37086,0.88312,1.14504,0.94291,0.84091,0.91026,0.58305,1.20444,0.8437,1.15055,0.0014852,0.0014852,0.0014852
15,332.889,1.31119,0.83307,1.13094,0.96134,0.86094,0.9357,0.64514,1.08125,0.72363,1.10875,0.0014456,0.0014456,0.0014456
16,354.399,1.2508,0.78878,1.09185,0.94748,0.8778,0.93733,0.64667,1.09794,0.70735,1.11557,0.001406,0.001406,0.001406
17,376.271,1.22578,0.7902,1.08399,0.91383,0.88554,0.93769,0.6516,1.06446,0.71693,1.08591,0.0013664,0.0013664,0.0013664
18,398.244,1.2452,0.79059,1.10115,0.94281,0.87288,0.93788,0.66572,1.05219,0.65991,1.07841,0.0013268,0.0013268,0.0013268
19,419.946,1.21797,0.75769,1.08576,0.94835,0.89817,0.94285,0.63682,1.06469,0.67129,1.07173,0.0012872,0.0012872,0.0012872
20,441.967,1.20606,0.73657,1.08498,0.95787,0.89409,0.94801,0.65556,1.08874,0.6808,1.06803,0.0012476,0.0012476,0.0012476
21,463.514,1.19018,0.7429,1.07295,0.9423,0.86479,0.93694,0.62635,1.15127,0.71517,1.11968,0.001208,0.001208,0.001208
22,485.317,1.20788,0.7293,1.07987,0.92466,0.89991,0.94477,0.64375,1.07851,0.63814,1.07962,0.0011684,0.0011684,0.0011684
23,506.719,1.14238,0.70281,1.05334,0.9609,0.90102,0.94802,0.66924,1.05909,0.61161,1.04461,0.0011288,0.0011288,0.0011288
24,527.988,1.16732,0.72462,1.05297,0.96341,0.88187,0.94936,0.67533,0.97954,0.6395,1.04143,0.0010892,0.0010892,0.0010892
25,549.481,1.13262,0.68517,1.04788,0.9449,0.90224,0.95006,0.67454,0.97473,0.60417,1.037,0.0010496,0.0010496,0.0010496
26,571.212,1.10189,0.67081,1.03288,0.9474,0.91702,0.95659,0.6953,0.93196,0.58721,1.00997,0.00101,0.00101,0.00101
27,592.94,1.12977,0.67397,1.0424,0.97769,0.89243,0.95767,0.68282,0.96703,0.60227,1.02294,0.0009704,0.0009704,0.0009704
28,614.385,1.10802,0.65172,1.04013,0.94994,0.9165,0.96344,0.71062,0.93213,0.55768,1.00675,0.0009308,0.0009308,0.0009308
29,635.852,1.08366,0.65362,1.02923,0.958,0.92899,0.96549,0.72756,0.88902,0.52917,1.00288,0.0008912,0.0008912,0.0008912
30,657.414,1.09107,0.67509,1.03187,0.95777,0.9165,0.96273,0.70002,0.95987,0.56827,1.01982,0.0008516,0.0008516,0.0008516
31,679.194,1.07016,0.63426,1.01706,0.96178,0.9226,0.96539,0.70847,0.92959,0.55007,1.00236,0.000812,0.000812,0.000812
32,700.827,1.05843,0.61645,1.00557,0.9657,0.92261,0.96738,0.71582,0.9164,0.53376,1.00016,0.0007724,0.0007724,0.0007724
33,722.504,1.04325,0.60949,1.00858,0.9692,0.92261,0.96838,0.7114,0.93247,0.55859,1.00552,0.0007328,0.0007328,0.0007328
34,744.134,1.03228,0.61132,1.01163,0.97287,0.92057,0.96653,0.71321,0.90204,0.51786,0.99428,0.0006932,0.0006932,0.0006932
35,765.63,1.012,0.59902,1.00066,0.96939,0.91446,0.96552,0.73376,0.84508,0.51508,0.98359,0.0006536,0.0006536,0.0006536
36,787.164,1.01688,0.60872,0.99743,0.95765,0.9389,0.96674,0.74769,0.83422,0.49572,0.97644,0.000614,0.000614,0.000614
37,808.84,1.01189,0.5899,0.99099,0.98357,0.91853,0.97544,0.7407,0.83796,0.49225,0.9735,0.0005744,0.0005744,0.0005744
38,830.285,0.99349,0.5823,0.98221,0.96219,0.93284,0.969,0.74208,0.84259,0.49419,0.96664,0.0005348,0.0005348,0.0005348
39,851.961,0.96924,0.56951,0.9841,0.96051,0.94126,0.96902,0.73344,0.85886,0.49807,0.9642,0.0004952,0.0004952,0.0004952
40,873.426,0.96619,0.5688,0.9834,0.97458,0.93713,0.97638,0.7481,0.82245,0.48234,0.96364,0.0004556,0.0004556,0.0004556
41,915.936,0.86865,0.50493,0.96218,0.96799,0.92376,0.97178,0.75222,0.83199,0.48093,0.9708,0.000416,0.000416,0.000416
42,937.325,0.87658,0.49371,0.96928,0.97431,0.92701,0.97558,0.75537,0.79627,0.45814,0.95869,0.0003764,0.0003764,0.0003764
43,958.868,0.85306,0.48364,0.96243,0.97245,0.93466,0.97486,0.76084,0.79557,0.46748,0.95127,0.0003368,0.0003368,0.0003368
44,980.39,0.85618,0.4915,0.95996,0.97643,0.92823,0.9789,0.76937,0.78726,0.46093,0.94531,0.0002972,0.0002972,0.0002972
45,1001.67,0.85391,0.49056,0.95985,0.9611,0.94297,0.97287,0.76139,0.78863,0.45394,0.94228,0.0002576,0.0002576,0.0002576
46,1023.1,0.83419,0.47423,0.94916,0.94547,0.95112,0.97547,0.76139,0.78886,0.45426,0.94897,0.000218,0.000218,0.000218
47,1044.75,0.83299,0.46796,0.95065,0.97628,0.92222,0.97509,0.76688,0.7689,0.45207,0.94806,0.0001784,0.0001784,0.0001784
48,1066.4,0.82352,0.46855,0.9434,0.97644,0.92864,0.97543,0.77152,0.77458,0.44324,0.9397,0.0001388,0.0001388,0.0001388
49,1087.82,0.80652,0.45722,0.94785,0.96646,0.93888,0.97593,0.76887,0.76122,0.44074,0.93728,9.92e-05,9.92e-05,9.92e-05
50,1109.26,0.7997,0.4531,0.94967,0.9688,0.93279,0.97684,0.77619,0.75504,0.4351,0.93633,5.96e-05,5.96e-05,5.96e-05
