epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.86685,1.78273,10.7948,1.19689,0.77389,0.65649,0.73503,0.48782,1.0597,3.39955,0.93252,0.00052,0.00052,0.00052
2,16.6263,1.24216,1.21041,0.9717,0.92492,0.94037,0.96448,0.65029,1.02534,1.24604,0.96999,0.00103901,0.00103901,0.00103901
3,24.0318,1.1602,1.1629,0.95947,0.90771,0.90096,0.93443,0.66005,1.06153,3.66967,1.01202,0.00153664,0.00153664,0.00153664
4,31.4128,1.18729,0.86554,0.98615,0.90823,0.91603,0.96553,0.64506,1.13847,1.50606,1.03977,0.0018812,0.0018812,0.0018812
5,38.9915,1.10262,0.78191,0.95407,0.43893,0.90771,0.44769,0.31009,1.01951,1.96901,0.96642,0.0018416,0.0018416,0.0018416
6,46.6173,1.05643,0.72247,0.94509,0.91205,0.94992,0.96114,0.69755,0.95267,0.66756,0.94978,0.001802,0.001802,0.001802
7,54.4455,1.02202,0.7938,0.93087,0.94132,0.94656,0.97969,0.71978,0.94503,0.70341,0.95888,0.0017624,0.0017624,0.0017624
8,62.1264,1.04453,0.76472,0.93692,0.95338,0.93669,0.96993,0.68045,1.03951,0.7495,0.97467,0.0017228,0.0017228,0.0017228
9,69.4952,1.01,0.69744,0.93628,0.97122,0.91603,0.98032,0.67457,0.9954,0.60783,0.93656,0.0016832,0.0016832,0.0016832
10,76.8577,1.02827,0.66767,0.93144,0.9689,0.95115,0.98533,0.72733,0.94611,0.6067,0.95408,0.0016436,0.0016436,0.0016436
11,84.3798,1.04732,0.66058,0.9226,0.94513,0.98473,0.99022,0.72363,0.92101,0.56873,0.98864,0.001604,0.001604,0.001604
12,91.6908,0.96477,0.62841,0.92551,0.91677,0.9542,0.9703,0.73718,0.86523,0.58696,0.9079,0.0015644,0.0015644,0.0015644
13,98.9781,0.90827,0.61453,0.90473,0.93152,0.96947,0.98654,0.75782,0.86623,0.58558,0.89703,0.0015248,0.0015248,0.0015248
14,106.413,0.9198,0.59752,0.9007,0.95543,0.98177,0.99143,0.77347,0.81197,0.52148,0.87899,0.0014852,0.0014852,0.0014852
15,113.872,0.96821,0.61919,0.90839,0.93435,0.97782,0.98723,0.74685,0.84576,0.5082,0.88792,0.0014456,0.0014456,0.0014456
16,121.235,0.95474,0.594,0.88588,0.96551,0.96947,0.99136,0.76048,0.90273,0.52249,0.90252,0.001406,0.001406,0.001406
17,128.608,0.8938,0.57279,0.89304,0.95405,0.98473,0.99305,0.78114,0.81,0.465,0.87896,0.0013664,0.0013664,0.0013664
18,136.007,0.89761,0.539,0.89399,0.98417,0.94892,0.98978,0.78116,0.7894,0.48715,0.87417,0.0013268,0.0013268,0.0013268
19,143.671,0.87212,0.54531,0.88131,0.96544,0.96183,0.98935,0.77975,0.79763,0.45866,0.87924,0.0012872,0.0012872,0.0012872
20,151.362,0.84637,0.53791,0.87427,0.93758,0.96183,0.98554,0.78931,0.76241,0.49441,0.86396,0.0012476,0.0012476,0.0012476
21,160.045,0.83648,0.56663,0.87216,0.95283,0.96183,0.99045,0.79728,0.78075,0.48362,0.86431,0.001208,0.001208,0.001208
22,168.44,0.82611,0.59707,0.87455,0.97033,0.99858,0.99215,0.80679,0.73783,0.4518,0.85307,0.0011684,0.0011684,0.0011684
23,176.457,0.82292,0.53943,0.86617,0.97172,0.93893,0.98951,0.78453,0.76524,0.47007,0.87163,0.0011288,0.0011288,0.0011288
