epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.5337,1.35481,4.49948,1.03839,0.4451,0.74542,0.41709,0.27697,1.06641,1.82947,0.93353,0.000659933,0.000659933,0.000659933
2,53.3043,1.14388,0.83496,0.95983,0.91902,0.83211,0.91653,0.63972,1.06057,0.81201,0.96564,0.00130033,0.00130033,0.00130033
3,78.353,1.15694,0.81006,0.96761,0.90819,0.86965,0.92631,0.62535,1.06598,0.79546,0.9779,0.00191433,0.00191433,0.00191433
4,103.222,1.08156,0.73738,0.96213,0.64951,0.73974,0.54314,0.34913,1.20402,4.08154,1.09337,0.0018812,0.0018812,0.0018812
5,128.031,1.04179,0.70475,0.94993,0.94912,0.91177,0.96326,0.72297,0.88487,0.59582,0.93614,0.0018416,0.0018416,0.0018416
6,152.82,1.01157,0.66002,0.93776,0.96819,0.91039,0.96514,0.72379,0.87834,0.5663,0.91642,0.001802,0.001802,0.001802
7,177.483,0.97727,0.63237,0.93827,0.94676,0.9417,0.98085,0.75366,0.85155,0.5355,0.91198,0.0017624,0.0017624,0.0017624
8,202.709,0.92669,0.60293,0.9202,0.93431,0.92694,0.97613,0.75004,0.81732,0.53654,0.8955,0.0017228,0.0017228,0.0017228
9,227.441,0.88726,0.56275,0.8999,0.95017,0.93205,0.97027,0.73205,0.88687,0.52808,0.92677,0.0016832,0.0016832,0.0016832
10,252.151,0.90267,0.56949,0.91148,0.9432,0.94703,0.97595,0.77248,0.76709,0.50269,0.89873,0.0016436,0.0016436,0.0016436
11,276.678,0.8474,0.53843,0.88781,0.97544,0.95519,0.9888,0.8003,0.73482,0.45645,0.87729,0.001604,0.001604,0.001604
12,301.852,0.87456,0.55513,0.89919,0.95415,0.92057,0.96775,0.77135,0.74704,0.52455,0.88461,0.0015644,0.0015644,0.0015644
13,326.519,0.83702,0.52261,0.88761,0.97116,0.96024,0.98969,0.80846,0.6904,0.43227,0.87085,0.0015248,0.0015248,0.0015248
14,351.063,0.81583,0.50959,0.87898,0.96167,0.97089,0.9903,0.78672,0.76337,0.46925,0.88307,0.0014852,0.0014852,0.0014852
15,375.659,0.82764,0.50956,0.89516,0.97125,0.96538,0.98568,0.79414,0.72103,0.43811,0.87664,0.0014456,0.0014456,0.0014456
16,400.13,0.82872,0.51719,0.88425,0.97298,0.95519,0.98385,0.79089,0.73572,0.47846,0.87895,0.001406,0.001406,0.001406
17,424.78,0.81257,0.51537,0.88395,0.96101,0.97352,0.99076,0.81114,0.67758,0.42665,0.86423,0.0013664,0.0013664,0.0013664
